Movie,Year,Actor in a Leading Role,Actress in a Leading Role,Actor in a Supporting Role,Actress in a Supporting Role,Art Direction,Cinematography,Costume Design,Directing,Film Editing,Makeup,Original Score,Original Song,Sound Editing,Sound Mixing,Visual Effects,Adapted Screenplay,Original Screenplay,BestPicture
ABeautifulMind,2001,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GosfordPark,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IntheBedroom,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LordoftheRings:FellowshipoftheRing,2001,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
MoulinRouge!,2001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Chocolat,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CrouchingTiger,HiddenDragon",2000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
ErinBrockovich,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gladiator,2000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
Traffic,2000,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
AmericanBeauty,1999,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
TheCiderHouseRules,1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TheGreenMile,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheInsider,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheSixthSense,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elizabeth,1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LifeisBeautiful,1998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SavingPrivateRyan,1998,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
ShakespeareinLove,1998,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
TheThinRedLine,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AsGoodAsItGets,1997,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GoodWillHunting,1997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.A.Confidential,1997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TheFullMonty,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Titanic,1997,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1
Fargo,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JerryMaguire,1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secrets&Lies,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shine,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheEnglishPatient,1996,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1
Apollo13,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Babe,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Braveheart,1995,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
Sense&Sensibility,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ThePostman,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ForrestGump,1994,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1
FourWeddingsandaFuneral,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PulpFiction,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
QuizShow,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheShawshankRedemption,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IntheNameoftheFather,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schindler'sList,1993,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1
TheFugitive,1993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ThePiano,1993,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TheRemainsoftheDay,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFewGoodMen,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HowardsEnd,1992,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ScentofaWoman,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheCryingGame,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Unforgiven,1992,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
BeautyandtheBeast,1991,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Bugsy,1991,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JFK,1991,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ThePrinceofTides,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheSilenceoftheLambs,1991,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Awakenings,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DancesWithWolves,1990,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
Ghost,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GoodFellas,1990,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TheGodfather,PartIII",1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BornontheFourthofJuly,1989,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DeadPoetsSociety,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DrivingMissDaisy,1989,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FieldofDreams,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MyLeftFoot,1989,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DangerousLiaisons,1988,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
MississippiBurning,1988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RainMan,1988,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
TheAccidentalTourist,1988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WorkingGirl,1988,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BroadcastNews,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FatalAttraction,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hope&Glory,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moonstruck,1987,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TheLastEmperor,1987,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1
ARoomWithaView,1986,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
ChildrenofaLesserGod,1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HannahandHerSisters,1986,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Platoon,1986,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
TheMission,1986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KissoftheSpiderWoman,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OutofAfrica,1985,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1
Prizzi'sHonor,1985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheColorPurple,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Witness,1985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Amadeus,1984,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1
APassagetoIndia,1984,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASoldier'sStory,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacesintheHeart,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TheKillingFields,1984,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
TenderMercies,1983,1,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,1,0
TermsofEndearment,1983,0,1,1,0,0,0,0,1,0,*,0,0,0,0,0,1,0,1
TheBigChill,1983,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
TheDresser,1983,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
TheRightStuff,1983,0,0,0,0,0,0,0,0,1,*,1,0,1,1,0,0,0,0
ET:TheExtraTerrestrial,1982,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Gandhi,1982,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1
Missing,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TheVerdict,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tootsie,1982,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AtlanticCity,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChariotsofFire,1981,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
OnGoldenPond,1981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RaidersoftheLostArk,1981,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0
Reds,1981,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
CoalMiner'sDaughter,1980,0,1,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
OrdinaryPeople,1980,0,0,1,0,0,0,0,1,0,*,0,0,*,0,0,1,0,1
RagingBull,1980,1,0,0,0,0,0,0,0,1,*,0,0,*,0,0,0,0,0
Tess,1980,0,0,0,0,1,1,1,0,0,*,0,0,*,0,0,0,0,0
TheElephantMan,1980,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
AllThatJazz,1979,0,0,0,0,1,0,1,0,1,*,1,0,0,0,0,0,0,0
ApocalypseNow,1979,0,0,0,0,0,1,0,0,0,*,0,0,0,1,0,0,0,0
BreakingAway,1979,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,1,0
Kramervs.Kramer,1979,1,0,0,1,0,0,0,1,0,*,0,0,0,0,0,1,0,1
NormaRae,1979,0,1,0,0,0,0,0,0,0,*,0,1,0,0,0,0,0,0
