Date,GameNum,PlayerID,GroupID,Level,Season,Money,Plot,Crop,PriorHarvest,Water,Insects,Nitrates,PesticidesAdded,Yield,BuyPrice,SellPrice,Profit,NitrateAdded,Finished
7/14/2026 15:17,10407,test,test,3,2,4095.38,21,Tomato,None,30,0,300,0,2.64,40,12,-43.32,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,2,Beans,None,35,0,300,0,0.73,25,6,-60.62,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,38,Beans,None,30,0,300,0,4.6,25,6,-32.4,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,36,Tomato,None,30,0,300,0,5.54,40,12,-8.52,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,35,Beans,None,35,0,300,0,3.24,25,6,-45.56,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,34,Beans,None,25,0,300,0,7.84,25,6,-7.96,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,33,Tomato,None,35,0,300,0,10.23,40,12,42.76,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,32,Beans,None,25,0,300,0,7.95,25,6,-7.3,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,31,Beans,None,35,0,300,0,4.56,25,6,-37.64,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,23,Beans,None,35,0,300,0,2.36,25,6,-50.84,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,24,Tomato,None,35,0,300,0,9.67,40,12,36.04,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,25,Tomato,None,30,0,300,0,5.8,40,12,-5.4,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,27,Beans,None,30,0,300,0,3.84,25,6,-36.96,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,28,Tomato,None,35,0,300,0,6.38,40,12,-3.44,0,0
7/14/2026 15:17,10407,test,test,3,2,4095.38,29,Tomato,None,25,0,300,0,2.34,40,12,-41.92,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,12,Beans,None,25,0,250,0,5.18,25,6,-18.92,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,13,Beans,None,35,0,250,0,1.65,25,6,-50.1,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,15,Beans,None,30,0,250,0,4.85,25,6,-25.9,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,16,Tomato,None,35,0,250,0,5.21,40,12,-12.48,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,18,Tomato,None,35,0,250,0,4.34,40,12,-22.92,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,19,Beans,None,30,0,250,0,2.68,25,6,-38.92,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,11,Tomato,None,25,0,250,0,0,40,12,-65,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,9,Tomato,None,30,0,250,0,1.79,40,12,-48.52,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,7,Beans,None,25,0,250,0,6.99,25,6,-8.06,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,6,Tomato,None,35,0,250,0,6.02,40,12,-2.76,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,5,Beans,None,30,0,250,0,0.79,25,6,-50.26,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,4,Tomato,None,30,0,250,0,1.69,40,12,-49.72,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,2,Beans,None,35,0,250,0,1.32,25,6,-52.08,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,1,Tomato,None,25,0,250,0,0,40,12,-65,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,20,Tomato,None,25,0,250,0,1.66,40,12,-45.08,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,21,Beans,None,25,0,250,0,5.87,25,6,-14.78,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,39,Tomato,None,25,0,250,0,2.61,40,12,-33.68,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,37,Beans,None,30,0,250,0,5.97,25,6,-19.18,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,36,Tomato,None,30,0,250,0,4.44,40,12,-16.72,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,35,Beans,None,35,0,250,0,4.75,25,6,-31.5,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,34,Beans,None,25,0,250,0,9.3,25,6,5.8,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,33,Tomato,None,35,0,250,0,8.54,40,12,27.48,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,32,Beans,None,25,0,250,0,9.64,25,6,7.84,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,31,Tomato,None,30,0,250,0,5.39,40,12,-5.32,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,22,Tomato,None,30,0,250,0,2.67,40,12,-37.96,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,24,Beans,None,35,0,250,0,4.21,25,6,-34.74,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,25,Tomato,None,25,0,250,0,3.06,40,12,-28.28,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,27,Tomato,None,35,0,250,0,6.14,40,12,-1.32,0,0
7/9/2026 23:51,10407,test,test,3,1,4194.92,28,Beans,None,30,0,250,0,4.96,25,6,-25.24,0,0
